"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onRestoreInstanceState(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onStop()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onSaveInstanceState(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onPause()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onConfigurationChanged(android.content.res.Configuration)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onRestoreInstanceState(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onDestroy()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onStop()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onSaveInstanceState(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onPause()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.asksven.betterwifionoff.services.EventWatcherService: void onSharedPreferenceChanged(android.content.SharedPreferences,java.lang.String)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.asksven.betterwifionoff.services.EventWatcherService: void onSharedPreferenceChanged(android.content.SharedPreferences,java.lang.String)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.asksven.betterwifionoff.MainActivity$4: void onClick(android.content.DialogInterface,int)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.asksven.betterwifionoff.MainActivity$3: void onClick(android.content.DialogInterface,int)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.asksven.betterwifionoff.MainActivity: void onCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.asksven.betterwifionoff.CellLogActivity: void onCreate(android.os.Bundle)>",""
